Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,GeoCode,Value
2015,A,0,ZIMSTAT ZDHS_2023-24,SH_STA_WAST,,,,PT,,8.4
2024,A,0,ZIMSTAT ZDHS_2023-24,SH_STA_WAST,,,,PT,,1.5
2024,A,0,ZIMSTAT ZDHS_2023-24,SH_STA_WAST,,,R,PT,,1.8
2024,A,0,ZIMSTAT ZDHS_2023-24,SH_STA_WAST,,,U,PT,,1.0
2024,A,0,ZIMSTAT ZDHS_2023-24,SH_STA_WAST,,F,,PT,,1.4
2024,A,0,ZIMSTAT ZDHS_2023-24,SH_STA_WAST,,M,,PT,,1.7
2024,A,0,ZIMSTAT ZDHS_2023-24,SH_STA_WAST,ZW_BA,,,PT,ZW_BA,2.3
2024,A,0,ZIMSTAT ZDHS_2023-24,SH_STA_WAST,ZW_HA,,,PT,ZW_HA,0.0
2024,A,0,ZIMSTAT ZDHS_2023-24,SH_STA_WAST,ZW_MA,,,PT,ZW_MA,0.8
2024,A,0,ZIMSTAT ZDHS_2023-24,SH_STA_WAST,ZW_MC,,,PT,ZW_MC,0.4
2024,A,0,ZIMSTAT ZDHS_2023-24,SH_STA_WAST,ZW_ME,,,PT,ZW_ME,1.4
2024,A,0,ZIMSTAT ZDHS_2023-24,SH_STA_WAST,ZW_MI,,,PT,ZW_MI,2.0
2024,A,0,ZIMSTAT ZDHS_2023-24,SH_STA_WAST,ZW_MN,,,PT,ZW_MN,2.8
2024,A,0,ZIMSTAT ZDHS_2023-24,SH_STA_WAST,ZW_MS,,,PT,ZW_MS,0.9
2024,A,0,ZIMSTAT ZDHS_2023-24,SH_STA_WAST,ZW_MV,,,PT,ZW_MV,3.0
2024,A,0,ZIMSTAT ZDHS_2023-24,SH_STA_WAST,ZW_MW,,,PT,ZW_MW,2.5
